"No","Name","Date","Comment","Star"
"98","Chandra Sari","06-08-2019","setelah update versi terbaru knp sering error yah padahal sinyal kuat dan notif yg masuk jd telat","1"
"99","nurusy syaadah","05-08-2019","kak, kenapa kalo bayar via alfamart dan indomart ketika klik bayar sekarang, selalu tidak keluar gambar kode ?","3"
"100","Romano Berek","05-08-2019","Fix Bug.. Tolong pihak developer untuk memperbaiki bug yang ada. Karna sudah lebih dari 2 hari, appnya tidak memunculkan barang, dan tertulis terjadi kesalahan. Saya sudah uninstall dan instal lagi tetapi hasilnya tetap sama saja. makasih","1"
"101","Istoto Yang Midi Wardi","05-08-2019","gw seh lebih enak belanja di online sebelah di banding disini","1"
"102","pimooon","05-08-2019","App paling lambat di hp saya, masuk ke keranjang dan mau klik barang selalu loading dan alhasil malah masuk ke toko, pas balik ke keranjang harus nunggu loading lagi sampe harga barang dan informasi ongkos kirim keluar, so sad.","1"
"103","Refy Isthawansyah","05-08-2019","most lagging marketplace in the universe","1"
"104","Zay Zet","05-08-2019","bentar2 suruh update, bikin males😑","3"
"105","Rexy Kurniawan","05-08-2019","bad!","1"
"106","Sabiqul Choir","05-08-2019","Jaringan bagus, tetep aja error","1"
"107","tata lovejc","05-08-2019","Applikasi benerin lagi dong. Lading gambar pada review section lama benerr, scrolling experience sangat gak enak karena lemot dan selang beberapa lama app jd hang & freeze.","1"
"108","kadekgede","05-08-2019","versi aplikasi sangat burut. tidak bisa tangkap sinyal. loading terus","1"
"109","Taufan Ihsan","05-08-2019","kenapa ga bisa terkoneksi internet. padahal internetnya lancar","1"
"110","Robby Riyaldi","05-08-2019","Semoga akun saya bisa terkenal di shopee ini karna saya jual baju cowo murah meriah. temui saya di instagram @kabau.add makasih shopee","5"
"111","Kurnia Hardiawan","05-08-2019","Sekarang aplikasi ini menyebalkan... sering gangguan. Payah... sejak mei lalu... gak semakin baik... malah semakin buruk. 5 bintang jika sudah normal kembali.","1"
"112","POTTER","05-08-2019","easy to use and addict to shop😁😁","5"
"113","yoga zayn","05-08-2019","Pesanan nyangkut belum terverifikasi sama pihak Shopee dalam 1 x 24 jam.. Agak kecewa..","1"
"114","Sobirin Basri","05-08-2019","Iya","5"
"115","sheele 1516","05-08-2019","sering error","1"
"116","Windri Astuti","05-08-2019","The latest update is so bad. Loading too slow and there are some error when I pick item or when I have to open my bucket list. I have been sending email to CS and they just said to update my app, my app is very very up to date and they can fix my problem properly.","3"
"117","Si O","05-08-2019","maaf baru bisa ngasih 3 bintang, soalnya saya saya belom pernah dapat serba 10 ribu, kalo dapat serba 10rb baru ta kasih 5 bintang 😁😄","3"
"118","Candra Indra","05-08-2019","oOo","5"
"119","Hardito Setiawan","05-08-2019","gk bisa searching.. benerin kek.. gimana mau beli klo gini?","1"
"120","gio ismail","05-08-2019","Kok aplikasi shopee pay saya ga ada fitur shopee pay later nya ya? sedangkan d hp adik saya ada. Saya rutin update shopee tp ttp aja gaada fiturnya. Kenapa ya?","4"
"121","Maria Novitasari","05-08-2019","good aplication............... ..","5"
"122","joni gaming","05-08-2019","good","5"
"123","Anggie Helvina","05-08-2019","very good","5"
"124","Muhammad Rizky","05-08-2019","pemborong anjing shopee 8.8 apaan ampas anjing.. barang 1 menit habis sama pemborong bkn pengguna","1"
"125","Citra Fadhillah","05-08-2019","Its just blank screen! cant see the products! really bad shopping app and wasting time.","1"
"126","roesma narulita","05-08-2019","terlalu banyak pop up saat buka apk , pop up iklan, pop up game dll, imbasnya respon lelet, entah kenapa shopee sepertinya semakin berat untuk digunakan","2"
"127","christian raharja","05-08-2019","saya sudah lama pake shopee, saya nyaman berbelanja disini, tapi kali ini saya benar benar kecewa saat punya pengalaman pesanan dibatalkan dan dana masuk ke shopeepay , utk menarik dana saya sendiri ajah birokrasi berbelit sekali, dari verifikasi ktp sudah makan waktu 1 hari , setekah selesai verifi...Full Review","2"
"128","AB Resto","05-08-2019","bisa dibantu customer liat stok 900ml botol sy 11.. padahal sy sdh update jde 311.. dia tdk bs transaksi.","1"
"129","dio andara","05-08-2019","kenapa kalau di bukalapak lebih cepet pengirimannya padahal sama2 jne ? wilayah juga sama. kok lambat banget pengiriaman melalui shoppee","1"
"130","Adrians Corp","05-08-2019","verifikasi shopee pay lama, penjualnya slow respon semua","1"
"131","Galih Mahardika","05-08-2019","Aplikasi berat.. Loading LAMA","1"
"132","Nata Iting","05-08-2019","semakin lama semakin kecewa dgn kinerja app shopee yg terlalu lambat padahal jaringan bagus. dan pertama kali coba shopee paylater, tetapi setiap dibuka ketika tanggal pembayaran malah tdk berfungsi (yg ditampilkan layar putih saja). shopee paylater tidak direkomendasikan.","1"
"133","Edi Susanto","05-08-2019","terpercaya","5"
"134","Achmad Arphan","05-08-2019","Fitur shopeepaynya PAYAH, Topup ga masuk2, chat sm CS ga ada solusi tay2 ngilang.","1"
"135","Najwa Aida","05-08-2019","jaringan error mulu padahal sinyal 4G","1"
"136","M Fauzi","05-08-2019","baguss dan seru","5"
"137","Mona Acun","05-08-2019","bagus","5"
"138","iwan santosa","05-08-2019","Shopee","5"
"139","Tgar","05-08-2019","Waktu buka olshop lain(bl,tokped,laz) lancar gk ngelag,eh buka shopee 5 menit langsung lang parah padahal cuma app belanja lemotnya kayak maen game AAA","1"
"140","ketut mertha","05-08-2019","goodd","4"
"141","dani sasmoko","05-08-2019","asik ...sering beli di sini","5"
"142","Byeol Angel","05-08-2019","saya membeli paket data kemarin tapi sampai sekarang belum juga masuk padahal sudah menghubungi cs shopee, ini sudah lewat dari 1×24 jam dan paket data sayapun masih tetap belum masuk cs shopee hanya menyuruh saya menunggu balasan email tapi tidak di balas2 bagaimana ini?","2"
"143","Syamsurizal Hafiz","05-08-2019","Kebanyakan Ribwt Buat Daftar.. Tai","1"
"144","Chindy El Faulana","05-08-2019","amazing application 😊","5"
"145","Lia yay","05-08-2019","sering tidak muncul tampilan productnya , muncul keterangan oopss terjadi kesalahan, jg server error padahal mau cek belanjaan trus mau ksi penilaian mau apa2 pun jd ga bisa 😥","3"
"146","diandaru widiyanto","05-08-2019","good","4"
"147","Daniel Zacharias","05-08-2019","Shopee Semakin banyak iklan bukannya semakin bagus malah semakin lemot, buka apps loading lama, catalog halaman kosong, nunggu lama apps crash, browsing"" halaman putih, notif ga bisa di buka, lemot smua tolong perhatiannya jika memang mw jdi apps e-comm unggulan kualitas apps/server semakin diperbai...Full Review","1"
"148","Reza Taka","05-08-2019","gmn sih kan gua punya 7k shopeepay + voucher gratis ongkir (shopeepayonly) harga barang yg mau di beli 3k :v masa ga bisa bayar pake shopeepay sih 1!1!1!1!1!!1!1!1","3"
"149","gita putri","05-08-2019","setelah update shoppe saya jadi lemot sekali dan sering error. mengecewakan","1"
"150","Kazuki Emiru","05-08-2019","tolong untuk lokasi pickup dibuat lebih jelas, krn alamat dan lokasi pickup bisa berbeda tempat, tidak semua org selalu sangat teliti ketika akan checkout atau menerima pesanan.","2"
"151","K.A. Herastuti","05-08-2019","please fix it soon :( ga bisa buka apapun kecuali home. recomendation pun eror. keranjang belanjaan ga bisa dibuka. untung lagi ga ngirim apa2..","2"
"152","Julianto Wang","05-08-2019","shopee always crash useless","1"
"153","Tri Permana","05-08-2019","pake android crash terus skrg, tlg dibenerin","1"
"154","black id","05-08-2019","ok","5"
"155","Ayu Rahmawati","05-08-2019","I love shopee❤","5"
"156","Felicia Rosiyani","05-08-2019","error terus pas dibuka crash","1"
"157","liz taher","05-08-2019","Senang belanja di shopee, harga lumayan murah.sayang Aplikasinya susah dibuka/lelet. Mohon bantuannya, saya mendapat kendala membuka menu paylater, sehingga saya tidak bisa melakukan pembayaran. Terima kasih. Menu bantuanpun gak bisa dibuka, apa diblokir?","2"
"158","KOCHENG OREN","05-08-2019","trouble terus jadi gabisa ikut flash sale realme x -_- buruk sekali😥 i cant buy a realme x flash sale because shope always trouble, why? and one more,why do you need another phone number when you're already registered one?it's so annoying 😥 *im sorry if my English language is bad","1"
"159","su ying","05-08-2019","qam","1"
"160","ignatius jeffry","05-08-2019","sekarang lbh sering errornya","1"
"161","Bro Evenk","05-08-2019","aplikasi terlalu besar, jadi sering ngehang","3"
"162","Freya Hutter","05-08-2019","overall oke banget. tapi cs shopee nya tdk membantu menyelesaikan masalah. saya kebingungan soal jasa pengiriman toko yg tdk tersedia ketika mau checkout. dan cs shopee cuma mengoper agar ditanya lgsg ke pihak penjual, padahal kata penjual itu wewenang shopee. duh","3"
"163","Isma Sulistiatanie","05-08-2019","Shopee lg maintenance ya? kok tiap buka produk gak bisa nih terjadi kesalahan mulu..","4"
"164","Aksesoris Shop","05-08-2019","App ecommerce plg lelet sedunia. Klo buka shopee pasti HP tiba2 lemot. Ini app dr negara mana sih??? Parah!!!!!","1"
"165","Anto Yuska","05-08-2019","krn ga bs dibuka akhirnya di uninstall dulu, tp skrg udah 2 hari ga bisa diinstal lagi. knp ya?","1"
"166","Salsabila Ar","05-08-2019","Idk","4"
"167","Feni Malinda","05-08-2019","Mantap","5"
"168","Dyah Kumayawati","05-08-2019","love shopee so much","5"
"169","Jashinta Mahadewi","05-08-2019","tidak bisa dipakai untuk search barang atau toko","1"
"170","Hilda Sofion","05-08-2019","good","5"
"171","Nining Maidah","05-08-2019","asik belanja di sini cuma sangat di sayangkan loading nya suka lama padahal mau transfer, kalo telat di batalin. maaf ngritik trs tp emang begitu ada nya. di perbaiki lagi iyoo","4"
"172","vicky chaerunisa","05-08-2019","Aplikasi shopee di android kalau pakai cellular tdk bs dibuka, tetapi pakai wifi bs. Entah kesalahannya dmn, krn sy br pertama kali ini menggunakan android samsung. Di iphone bagus2 aja, sedih ketika sy beralih ke android aplikasi favorit sy agak sulit digunakan😓","3"
"173","Zuris Diana","05-08-2019","Aplikasinya berat saat dibuka,terutama keranjangnya.","1"
"174","Resa Andiyani","05-08-2019","tiap ada bugs hrus update muluuu😑","3"
"175","Arini Nur","05-08-2019","i can't use this app about a month what actually happened?? its always said ""terjadi kesalahan"" and ""oops"". i've tried to changes my internet provider but its useless.","3"
"176","Thomi Adibya","05-08-2019","nice","5"
"177","Silvia Desi","05-08-2019","kenapa ya setelah di update error trs","3"
"178","vandy winata","05-08-2019","Tidak bisa mengubah alamat. Please fix the issue. Thank you","1"
"179","yohanes yakin","05-08-2019","tampilan gambar dan cek status pengiriman ngak bisa di buka di hp samsung note 9, pake hp merek lain lancar aja, tolong benerin bugnya","1"
"180","Siti Nur Nadhi'ah","05-08-2019","suka banget sama apps ini...","5"
"181","Ey monn","05-08-2019","please fix ""terjadi kesalah""","2"
"182","Kodok Canephora","05-08-2019","ok","5"
"183","Venniesheren Sanjaya","05-08-2019","saya order mainan aladdin di apps ini. penjualnya udah oke, kalau barangnya ada dan sy sdh bayar. 1 hr berikutnya dia bilang kalau barangnya kosong. dan sampai sekarang dia tidak ada respon. tolong utk pihak shopee lebih tegas dengan penjual yg seperti ini. krn ini seperti tindak penipuan. thanks","4"
"184","jule pa","05-08-2019","bug terossss","1"
"185","Dina Oktaviana","05-08-2019","kok tiap dibuka nggak bisa terus ya? padahal jaringan lancar, coba lagi terus","1"
"186","Wira Yuda","05-08-2019","bad experience use this app","1"
"187","Dibyo Dibyo","05-08-2019","like","5"
"188","Kamal sarifan","05-08-2019","wow keren","5"
"189","Farhan Nur-Addin","05-08-2019","sampah, susah buat login, terus sering ngelog out sendiri. useless lah","1"
"190","Wi Dodo","05-08-2019","Super...","4"
"191","Tony Hwang","05-08-2019","please fixed...""Ops, ada kesalahan terjadi..coba lagi"". Jaringan internet bagus dan sudah berkali2 bersihin cache juga tidak menyelesaikan masalah.","1"
"192","Joseph Wijaya","05-08-2019","nice","5"
"193","Gani Rahmani","05-08-2019","please fix the bug for samsung device, when start this app , as always "" telah terjadi kesalahan"" i hope it will fix fastly","4"
"194","fauzi dol","05-08-2019","aplikasi apaan ini di buka aja bisa, sering eror. saya sangat kecewa.","1"
"195","P0ck3tz","05-08-2019","app makes my phone really hot when it's not in use, it kept running in the background. this problem only occurs when I have the app installed","1"
"196","I Made Dwipayana","05-08-2019","pop up diawal masuk menu sangat menggangu","3"
"197","Vidy Ahyani","05-08-2019","Murah-murah dan ada subsidi ongkir setiap bulan. Thanks.. ♥️","5"
"198","anggara minang prasatya","05-08-2019","profesional dan responsibel.","5"
"199","meutia azhani luwes","05-08-2019","ok","5"
"200","Christie Rania","05-08-2019","shopee lagi maintenance kah? kenapa gg bisa dipake? maaf ya, aku uninstall. gg fungsi juga sekarang, mo belanja gg bisa.","1"
"201","Abidin Saleh","05-08-2019","perbaiki laaaaah,","1"
